"Exam Name","Content","Option A","Option B","Option C","Option D","Answer","Explain"
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 1 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 2","Kết quả 1","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 2 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 3","Kết quả 2","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 3 là gì?","Kết quả 4","Ngoại lệ Runtime","Kết quả 3","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 4 là gì?","Kết quả 4","Kết quả 5","Lỗi biên dịch","Ngoại lệ Runtime","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại mảng trong trường hợp số 5 là gì?","Ngoại lệ Runtime","Kết quả 5","Lỗi biên dịch","Kết quả 6","A","Đây là kiến thức cơ bản về xử lý mảng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 6 là gì?","Kết quả 6","Kết quả 7","Ngoại lệ Runtime","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 7 là gì?","Lỗi biên dịch","Kết quả 8","Kết quả 7","Ngoại lệ Runtime","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 8 là gì?","Kết quả 8","Kết quả 9","Lỗi biên dịch","Ngoại lệ Runtime","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 9 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 10","Kết quả 9","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại mảng trong trường hợp số 10 là gì?","Kết quả 10","Kết quả 11","Lỗi biên dịch","Ngoại lệ Runtime","A","Đây là kiến thức cơ bản về xử lý mảng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 11 là gì?","Kết quả 11","Lỗi biên dịch","Ngoại lệ Runtime","Kết quả 12","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 12 là gì?","Kết quả 12","Kết quả 13","Lỗi biên dịch","Ngoại lệ Runtime","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 13 là gì?","Kết quả 13","Kết quả 14","Ngoại lệ Runtime","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 14 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 15","Kết quả 14","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại mảng trong trường hợp số 15 là gì?","Kết quả 16","Kết quả 15","Ngoại lệ Runtime","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý mảng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 16 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 17","Kết quả 16","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 17 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 18","Kết quả 17","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 18 là gì?","Ngoại lệ Runtime","Kết quả 18","Kết quả 19","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 19 là gì?","Kết quả 20","Kết quả 19","Ngoại lệ Runtime","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại mảng trong trường hợp số 20 là gì?","Lỗi biên dịch","Kết quả 21","Kết quả 20","Ngoại lệ Runtime","A","Đây là kiến thức cơ bản về xử lý mảng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 21 là gì?","Kết quả 21","Ngoại lệ Runtime","Kết quả 22","Lỗi biên dịch","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 22 là gì?","Ngoại lệ Runtime","Lỗi biên dịch","Kết quả 23","Kết quả 22","A","Đây là kiến thức cơ bản về xử lý đối tượng."
"Lập Trình Java","Kết quả của phép toán xử lý dữ liệu loại đối tượng trong trường hợp số 23 là gì?","Lỗi biên dịch","Ngoại lệ Runtime","Kết quả 23","Kết quả 24","A","Đây là kiến thức cơ bản về xử lý đối tượng."
